순번,회사명,공장대표주소,업종명,생산품,전화번호,팩스번호
3524,정광정밀,경상남도 창원시 마산회원구 봉암공단5길 40 (봉암동),기타 가공 공작기계 제조업,"기계부품, 치공구",055-297-4976,055-255-7297
3525,정도산업,경상남도 창원시 마산회원구 봉암공단11길 21-2 (봉암동),그 외 기타 일반목적용 기계 제조업 외 2 종,"롤러, 모울드금형",055-286-6097,055-286-6027
3526,정명테크,경상남도 창원시 의창구 죽전로40번길 42 (팔용동),절삭가공 및 유사처리업,금형부품,055-252-2461,055-252-2461
3527,정민테크니션,"경상남도 창원시 마산회원구 봉암공단로 11, 13 (봉암동)",금속 절삭기계 제조업,기계부품,055-256-8003,055-256-8036
3528,정서E&T,경상남도 창원시 진해구 남영로544번길 29 (남양동),절삭가공 및 유사처리업 외 2 종,반제품,055-547-2318,055-547-2319
3529,정안철강(주),"경상남도 창원시 의창구 차상로 182-17 (팔용동, 신일정비)",절삭가공 및 유사처리업,파워스티어링 펌프,055-713-5057,055-713-5059
3530,정암ENG,경상남도 창원시 의창구 차룡로48번길 44 (팔용동) 1동 6층 608호,산업처리공정 제어장비 제조업,자동화 설비,055-716-0066,055-716-0065
3531,정암산업(주),경상남도 창원시 마산합포구 진북면 산단3길 32-9 (동전특수강),기타 물품 취급장비 제조업,콘트롤 유니트,055-268-5478,055-268-5478
3532,정우금속,경상남도 창원시 진해구 웅천서로41번길 16 (제덕동),"탭, 밸브 및 유사장치 제조업",밸브 및 유사장치 제조,055-547-7172,
3533,정우기계,경상남도 창원시 성산구 월림로25번길 9 (신촌동),절삭가공 및 유사처리업,기계부품,055-252-4651,055-291-6568
3534,정우산기,"경상남도 창원시 성산구 월림로39번길 2-3 (신촌동, 정우산기)",금속 절삭기계 제조업,선박용디젤엔진부속품,055-286-1082,055-286-1042
3535,정우시스템,"경상남도 창원시 의창구 죽전로82번길 35, 제5아파트형공장 3층 327호 (팔용동) 외 1필지",그 외 기타 전기장비 제조업,CNC공작기계전기장치,055-256-6913,055-256-6915
3536,정우정밀,"경상남도 창원시 성산구 완암로 50, 테크동 411호 (성산동, SK테크노파크)",금속 절삭기계 제조업,"공작기계, 치공구, 금형",055-286-4071,055-286-4076
3537,정우하이테크,경상남도 창원시 의창구 대산면 주남로382번길 41-1,운송장비 조립용 플라스틱제품 제조업 외 1 종,기계부품 플라스틱 제품,,055-252-2192
3538,정원산업,"경상남도 창원시 진해구 남영로564번길 35 (남양동, 정광기계)",자동차용 금속 압형제품 제조업 외 1 종,금속압형,055-551-0861,
3539,정일기공,"경상남도 창원시 마산회원구 봉암공단11길 71 (봉암동, 정일기공)",자동차 엔진용 신품 부품 제조업 외 2 종,자동차부품,055-255-7774,055-256-6664
3540,정일기업,"경상남도 창원시 성산구 반월로 59 (신촌동, 정일기업)",절삭가공 및 유사처리업,공작기계부품,055-275-7811,055-275-6311
3541,정일산업 주식회사,경상남도 창원시 마산회원구 무역로 141(봉암동),절삭가공 및 유사처리업,"기계부품, 연료전지 부품",055-277-0945,055-237-0934
3542,정일주방,경상남도 창원시 마산회원구 내서읍 숲속로 111,주방용 및 음식점용 목재가구 제조업,"싱크대, 부엌가구",055-232-0714,
3543,정일티엠씨,"경상남도 창원시 성산구 완암로 50, 메카동 7층 719호 (성산동, SK테크노파크)",절삭가공 및 유사처리업,치공구 및 기계부품(임가공),055-277-0945,
3544,정진TECH,"경상남도 창원시 성산구 남면로 219, 2동 1층 24 (대원동)",금속 절삭기계 제조업,가공기계,055-274-0853,055-274-0854
3545,정진테크,경상남도 창원시 성산구 남면로 599 (외동),자동차용 신품 동력전달장치 제조업,자동차 부품,055-212-6352,30331309691
3546,정텍,경상남도 창원시 성산구 창곡로 151 (웅남동),절삭가공 및 유사처리업 외 4 종,"치공구,기계부품가공,밸브및부품,장갑형보급용차량부품,공기총,탄약및부품,굴삭기부품(브라켓휠,유압펌프)",055-277-1952,055-277-1954
3547,정환공업(주),"경상남도 창원시 의창구 창원대로363번길 11, 6동 1층 5호 (팔용동, 창원제3표준공장)",무기 및 총포탄 제조업,지지로라 외,055-256-5712,055-256-5713
3548,제니스,"경상남도 창원시 성산구 공단로166번길 27-47 (신촌동, 조일정공사)",그 외 기타 일반목적용 기계 제조업 외 1 종,치공구 외,055-275-1720,30309447612
3549,제니아일렉트로닉스,"경상남도 창원시 성산구 완암로 50, 테크동 9층 906호 (성산동, SK테크노파크) 외 1필지","전자기 측정, 시험 및 분석기구 제조업","신호분석기, 영상측정장비 외",055-277-2962,055-277-2969
3550,제령정밀,"경상남도 창원시 성산구 월림로65번길 6-31 (신촌동, 제령정밀)",구름베어링 제조업,특수베어링,055-286-2398,055-286-2858
3551,제롬테크,"경상남도 창원시 의창구 차룡로48번길 44, 1동 4층 412호(팔용동) 1동 4층 412호",배전반 및 전기 자동제어반 제조업,자동화제어판넬 및 기계장치,055-295-1260,055-295-1260
3552,제성정밀,"경상남도 창원시 성산구 완암로 50, 메카동 2층 213호 (성산동, SK테크노파크)",기어 및 동력전달장치 제조업,"크랭크, 베어링 하우징 제조",055-266-9317,055-266-9317
3553,제영정밀,"경상남도 창원시 마산회원구 봉암공단8길 65 (봉암동, 정영정밀)",주형 및 금형 제조업 외 2 종,금형 및 사출,055-297-0692,055-297-0693
3554,제우금속,경상남도 창원시 마산회원구 내서읍 수곡로 21-28 (감수산업(주)),금속 열처리업 외 1 종,중장비부품,055-232-4271,055-232-4273
3555,제우산업,"경상남도 창원시 진해구 남영로544번길 57 (남양동, 동일)",주형 및 금형 제조업,중자,055-551-4056,055-551-4057
3556,제우스텍,"경상남도 창원시 의창구 차룡로48번길 44, 1동 1층 105호(팔용동) 1동 1층 105호",산업용 로봇 제조업,"공장자동화라인, 시험설비",055-261-9819,055-261-9820
3557,제우스텍,"경상남도 창원시 성산구 웅남로 316, 1동 108호 (웅남동)",산업용 로봇 제조업,공장 자동화 라인 제작,055-261-9819,055-261-9820
3558,제이디피브이디(주),경상남도 창원시 성산구 반월로60번길 6-12 (신촌동),도장 및 기타 피막처리업,치공구 표면처리,055-263-3007,055-263-3008
3559,제이메카텍,경상남도 창원시 의창구 북면 감계로156번길 6-18,그 외 기타 일반목적용 기계 제조업,자동화설비,055-713-9988,055-713-9980
3560,제이메카텍,경상남도 창원시 의창구 창원대로18번길 22 (팔용동) 경남테크노파크 벤처동 209호,그 외 기타 일반목적용 기계 제조업,자동화설비 제작,,
3561,제이아이글로벌,"경상남도 창원시 성산구 월림로49번길 2-9 (신촌동, 정우무역)",그 외 기타 플라스틱 제품 제조업 외 4 종,"pc sheet 가공, 운전박스",055-267-3325,055-267-3327
3562,제이아이유압(주),경상남도 창원시 마산합포구 진북면 산단2길 46-34,유압기기 제조업,"유압펌프,유압모터",055-232-9207,070-7500-9224
3563,제이앤케이,경상남도 창원시 성산구 성주로 77 (남산동),자동차용 신품 조향장치 및 현가 장치 제조업,자동차부품,055-555-5555,
3564,제이에스물류,경상남도 창원시 성산구 완암로 171 (내동),건설 및 채광용 기계장비 제조업,굴삭기 부품(드바이스 모터 조립),055-269-5363,055-338-5208
3565,제이에스엔테크 주식회사,"경상남도 창원시 진해구 마천로18번길 27 (마천동) (주)페가서스인터네셔널동 101, 201, 202, 203호",기타 직물제품 제조업 외 2 종,"덴탈마스크, 마스크 제조용 기계 및 기기",055-551-6066,055-551-6067
3566,제이에스테크,경상남도 창원시 의창구 사화로 210 (팔용동) A동 3층 338호,기타 가정용 전기기기 제조업,"가습기및기타전자제품,부품",055-238-8371,055-238-8372
3567,제이에스테크,"경상남도 창원시 성산구 연덕로27번길 64 (웅남동, 제이에스테크)",주형 및 금형 제조업,다이캐스팅금형,055-286-2602,
3568,제이에스테크,"경상남도 창원시 의창구 평산로 23, 1동 1층 105호 (팔용동) 신화테크노밸리지식산업센터 105호, 106호",절삭가공 및 유사처리업,치공구,055-281-2416,055-282-2416
3569,제이에스테크,"경상남도 창원시 의창구 평산로 23, 신화테크노밸리지식산업센터 106호 (팔용동)",절삭가공 및 유사처리업,치공구 제작 등,055-281-2416,055-282-2416
3570,제이에스텍,경상남도 창원시 성산구 반월로 54 (신촌동),반도체 제조용 기계 제조업,반도체 제조용 자동화부품 ,055-285-9780,055-285-9781
3571,제이에이치산업,경상남도 창원시 마산합포구 진북면 진북산업로 432 (주택),금속 표시판 제조업,금속표지판,055-271-7704,055-247-7707
3572,제이에이치산업,경상남도 창원시 마산합포구 진북면 진함로 377,금속 표시판 제조업,"도로표지판,교통표지판",055-271-7704,055-247-7707
3573,제이에이치테크,경상남도 창원시 성산구 연덕로15번길 41 (웅남동),자동차용 신품 동력전달장치 제조업,하우징,,
3574,제이엔에스,"경상남도 창원시 성산구 완암로 50, 메카동 9층 918호(성산동, SK테크노파크) 메카동 9층 918호",금속 절삭기계 제조업,"로타리, 조인트",055-600-6530,055-600-6531
3575,제이엔텍,"경상남도 창원시 성산구 완암로 50, 메카동 1103호 (성산동, SK테크노파크)",전시용 모형 제조업,"자동화설비, 교육용기자재",070-8747-6642,055-313-6642
3576,제이엔텍솔루션,"경상남도 창원시 마산회원구 봉암북7길 21, 제5동 603호 (봉암동, 경남지능형홈산업화센터)",기타 음향기기 제조업,지향성/어학용스피크,055-259-5990,055-259-5992
3577,제이엠남부지사,"경상남도 창원시 성산구 완암로 50, 테크동 702호 (성산동, SK테크노파크)",자동차 엔진용 신품 부품 제조업 외 1 종,액체여과장치,055-297-9717,055-297-9710
3578,제이엠시스템,"경상남도 창원시 성산구 완암로 50 (성산동, SK테크노파크) 메카동 8층 812호",배전반 및 전기 자동제어반 제조업 외 1 종,"자동제어반, 전지시험장치",,
3579,제이엠전자(주),"경상남도 창원시 의창구 사화로 210, 1동 3층 311 (팔용동)",전자카드 제조업,전자카드 부품,055-297-8241,
3580,제이엠테크,"경상남도 창원시 마산회원구 봉암공단10길 66 (봉암동, 명진산업사)",그 외 기타 일반목적용 기계 제조업 외 1 종,농기계부품,055-294-9860,055-294-9931
3581,제이엠티,"경상남도 창원시 성산구 연덕로27번길 15 (웅남동, 영진산업)",절삭가공 및 유사처리업,공작기계 정밀부품,,055-275-4730
3582,제이와이엠,경상남도 창원시 의창구 팔용동 23-7번지 신화테크노밸리지식산업센터 120호,절삭가공 및 유사처리업,기계부품 임가공,055-295-2868,055-295-2869
3583,제이와이이엔지,경상남도 창원시 성산구 공단로271번길 29 (웅남동),금속 절삭기계 제조업,"방산,공작기계부품",055-715-5883,055-715-5884
3584,제이원코리아,경상남도 창원시 의창구 대산면 유등로 19 외 1필지,그 외 기타 특수목적용 기계 제조업 외 1 종,고무믹서용 기계부품 등,055-253-5341,
3585,제이케이테크(JK-TECH),"경상남도 창원시 성산구 완암로 3, 6동 1층 3호 (웅남동) 6동 1층 3호",절삭가공 및 유사처리업,기계부품 임가공,055-266-1102,055-297-1102
3586,제이테크,"경상남도 창원시 성산구 반월로68번길 5, (신촌동, 에이동201호) (신촌동)",육상 금속 골조 구조재 제조업 외 1 종,금속조립구조재,055-266-7485,
3587,제이테크,경상남도 창원시 성산구 공단로98번길 22 (신촌동),절삭가공 및 유사처리업,정밀가공품,055-281-3549,055-281-3549
3588,제이텍,"경상남도 창원시 성산구 완암로 50, 메카동 3층 309호 (성산동, SK테크노파크)",절삭가공 및 유사처리업,치공구 및 기계부품(임가공),055-600-6161,055-600-6160
3589,제이티케이 아이엔씨,"경상남도 창원시 성산구 완암로 50 (성산동, SK테크노파크) 메카동 11층 1117호",컴퓨터 제조업,"관제시스템 장비, 스마트펙토리 구현 제품",055-714-8001,055-714-8002
3590,제이피코(주),"경상남도 창원시 성산구 공단로 160 (신촌동, HSG중공업(주))",산업용 트럭 및 적재기 제조업,산업용 운반기계,055-275-6859,055-275-6858
3591,제이피코(주),경상남도 창원시 마산합포구 진북면 농공단지로 57 에반산업,산업용 트럭 및 적재기 제조업,트랙터 등,055-275-6859,055-275-6858
3592,제일C&T,경상남도 창원시 마산합포구 진북면 신촌리 443번지,그 외 기타 분류 안된 화학제품 제조업 외 1 종,"방수제, 접착제",055-586-1120,055-586-1128
3593,제일F.R.P산업,경상남도 창원시 마산합포구 진전면 대실로 205 (제실특장),차체 및 특장차 제조업 외 1 종,수족관(차량탑재용),055-241-9460,055-271-8076
3594,제일금속(주),경상남도 창원시 의창구 차룡로14번길 43 (팔용동),기타 1차 비철금속 제조업,"워터젯,프라즈마 절단 가공",055-238-9901,055-238-9909
3595,제일산업,경상남도 창원시 마산회원구 내서읍 광려천남로 137-2 (원인공업사),그 외 기타 플라스틱 제품 제조업,프라스틱 용기및 식료,055-232-6711,055-232-6712
3596,제일스크린,"경상남도 창원시 마산회원구 봉암공단1길 139 (봉암동, 원당정판인쇄사)",경 인쇄업 외 2 종,기계명판류,055-283-5860,055-283-5862
3597,제일스텐금속,"경상남도 창원시 마산회원구 3·15대로 514 (회원동, 제일스텐금속)","금속 문, 창, 셔터 및 관련제품 제조업",스테인레스가공품,055-243-2552,055-243-2554
3598,제일스프링,"경상남도 창원시 마산회원구 내서읍 광려천남로 59, 104호",금속 스프링 제조업,스프링,055-232-5360,055-232-5361
3599,제일이엔지,경상남도 창원시 마산회원구 봉암공단5길 52 (봉암동),그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,055-256-2811,055-256-2911
3600,제일정공,"경상남도 창원시 성산구 완암로 50, 테크동 5층 509 (성산동, SK테크노파크) 테크동 5층 509호",금속 절삭기계 제조업,"방산부품, 중장비(기계부품)",,055-266-8730
3601,제일정밀,"경상남도 창원시 성산구 월림로49번길 12-18 (신촌동, 제일정공)",금속 절삭기계 제조업,"공작기계 JIG, 초경치구 자동차부품가공 외",055-286-1290,
3602,제일정밀,경상남도 창원시 마산회원구 내서읍 함마대로 2502-33 외 1필지,그 외 자동차용 신품 부품 제조업,자동차부품,,055-255-9937
3603,제일테크,경상남도 창원시 의창구 차룡단지로 75-13 (팔용동),절삭가공 및 유사처리업,금속가공,055-716-0757,055-716-0758
3604,제일포금공업사,경상남도 창원시 마산합포구 진전면 삼진의거대로 366-48,그 외 자동차용 신품 부품 제조업 외 4 종,"비철부품, 오일쿨러",055-272-0413,055-272-0412
3605,제트코리아,"경상남도 창원시 성산구 완암로 50, 넥스동 11층 1113 (성산동, SK테크노파크)",유압기기 제조업,유압기기제조,,055-325-3065
3606,제트코리아,"경상남도 창원시 성산구 완암로 50, 테크동 518호 (성산동, SK테크노파크)",유압기기 제조업 외 3 종,유압기기,055-325-5577,055-325-3065
3607,젠트,"경상남도 창원시 성산구 완암로 50, 테크동 10층 1004호 (성산동, SK테크노파크)",절삭가공 및 유사처리업,지그제작,055-607-0596,055-607-0597
3608,조선시대(주),경상남도 창원시 마산합포구 구산면 안녕로 301,선박 구성 부분품 제조업 외 2 종,합성수지 선박,070-7766-0879,055-244-0879
3609,조은FA,경상남도 창원시 성산구 월림로65번길 16-13 (신촌동),배전반 및 전기 자동제어반 제조업,전기판넬,,070-8283-5774
3610,조은산업,"경상남도 창원시 마산합포구 진북면 진북산업로 507 , 주1동",합성수지선 건조업 외 8 종,"선박, 비철금속구조물, 선박작업대 등",055-272-0800,055-272-0802
3611,조은스프링,경상남도 창원시 의창구 동읍 자여로112번길 12,금속 스프링 제조업,스프링,,
3612,조은스핀들,경상남도 창원시 마산회원구 내서읍 수곡로 55,금속 절삭기계 제조업,스핀들,055-232-5535,
3613,조인베어링,경상남도 창원시 의창구 죽전로 80 (팔용동),기어 및 동력전달장치 제조업,베어링,055-277-6940,055-577-6941
3614,조일엔지니어링,경상남도 창원시 성산구 반월로60번길 11 (신촌동),항공기용 부품 제조업,항공기부품,055-286-1411,055-286-1415
3615,종합씽크대동,경상남도 창원시 의창구 대산면 유등남길40번길 6-3,주방용 및 음식점용 목재가구 제조업,씽크대,,
3616,종합인쇄삼진사,경상남도 창원시 성산구 외동반림로126번길 30 (중앙동),경 인쇄업 외 1 종,인쇄,055-266-9500,055-266-9506
3617,좋은기술,"경상남도 창원시 의창구 사화로 210, 2층 211 (팔용동)",그 외 기타 의료용 기기 제조업 외 2 종,세척기,055-251-3021,055-251-3023
3618,좋은기술,"경상남도 창원시 의창구 사화로 210, 2동 2층 217호 (팔용동)",그 외 기타 특수목적용 기계 제조업 외 1 종,세척기 등,055-251-3021,055-251-3023
3619,좋은아크릴,"경상남도 창원시 성산구 완암로 50, 테크동 7층 716 (성산동, SK테크노파크)",간판 및 광고물 제조업,"아크릴가공,조각,포찰제작,포맥스가공",,
3620,주)삼광기공,경상남도 창원시 의창구 북면 단내로 415-18,금속 절삭기계 제조업,공작기계,055-298-1645,055-298-1646
3621,㈜가야테크,경상남도 창원시 의창구 평산로78번길 17 (팔용동),그 외 기타 금속가공업,반도체금형부품제조,055-298-1173,055-298-1175
3622,㈜광동하이텍,경상남도 창원시 진해구 남영로564번길 19 (남양동) 외 1필지,합성수지선 건조업 외 7 종,합선수지선(FRP선박) 등,,
3623,주광레이저,"경상남도 창원시 성산구 공단로 228-6 (웅남동, (주)오토엔 공장)",그 외 기타 1차 철강 제조업,철강재 절단 절곡,055-714-8283,055-714-8284
3624,주광피앤시,경상남도 창원시 의창구 북면 백월로 79,산업용 로봇 제조업,산업용 로봇가공품,055-298-8758,
3625,㈜동환스틸 진해지점,경상남도 창원시 진해구 남영로511번길 19 (남양동) (주)금오금속공업,배전반 및 전기 자동제어반 제조업,배전기 부분품,055-262-8082,055-286-8625
3626,주성정밀,경상남도 창원시 의창구 죽전로 80 (팔용동),주형 및 금형 제조업,"정밀성형금형,치공구",055-299-1509,055-299-1509
3627,주식회사 가람,경상남도 창원시 진해구 남영로527번길 92 (남양동),기타 기관 및 터빈 제조업,풍력발전기 부품,055-547-0026,055-547-0027
3628,주식회사 가람이앤씨,경상남도 창원시 성산구 성주로137번길 31-8 (남산동) 2층,배전반 및 전기 자동제어반 제조업,컨트롤판넬,055-542-8882,055-542-4922
3629,주식회사 거산이에스,"경상남도 창원시 의창구 차룡로48번길 44, 1동 10층 1007호(팔용동) 1동 10층 1007호",산업용 트럭 및 적재기 제조업 외 1 종,"이송장비 어테치먼트, 펌프",055-275-4989,055-275-4990
3630,주식회사 거산정공,경상남도 창원시 마산회원구 내서읍 광려천남로 15,기타 가공 공작기계 제조업,공작기계부품,055-248-8135,055-248-8135
3631,주식회사 거성공조,경상남도 창원시 성산구 반월로67번길 30 (신촌동),구조용 금속 판제품 및 공작물 제조업,구조용 금속제품(덕트),055-281-1143,055-281-1145
3632,주식회사 건동,경상남도 창원시 진해구 웅천로159번길 34 (북부동),구조용 금속 판제품 및 공작물 제조업,금속재울타리(안전난간대),055-542-0782,055-542-0783
3633,주식회사 건영엔지니어링,"경상남도 창원시 성산구 웅남로 316, 3동 1층 102호,202호,302호,402호 (웅남동)",구조용 금속 판제품 및 공작물 제조업 외 4 종,구조용 금속제품,055-298-3449,055-292-3449
3634,주식회사 건우엠티씨,경상남도 창원시 의창구 차룡로 16 (팔용동),금속 절삭기계 제조업 외 20 종,칲마운터 부품 외,055-294-4015,
3635,주식회사 경성테크윈,경상남도 창원시 의창구 평산로8번길 38 (팔용동),배전반 및 전기 자동제어반 제조업 외 3 종,"배전반,자동 프로세서,계장제어장치,면진장치",055-276-8289,055-276-8188
3636,주식회사 광산에스에이치아이,경상남도 창원시 진해구 신항8로 14 (남문동),산업생산시설 종합건설업,"발전설비, 화공설비",055-710-1201,055-710-1290
3637,주식회사 금곡,경상남도 창원시 성산구 월림로67번길 52 (신촌동),산업용 로봇 제조업 외 7 종,기계자동화부품,,055-261-7822
3638,주식회사 금영에이엠티,"경상남도 창원시 마산회원구 봉암북14길 16-1 (봉암동, 주택) (총 2 필지)",기타 가공 공작기계 제조업,가공공작기계,055-292-4210,055-295-4293
3639,주식회사 금영엘이디,경상남도 창원시 진해구 돌리로 5-10 (석동),전구 및 램프 제조업 외 3 종,전구및램프,02-6390-2366,02-6280-4168
3640,주식회사 다온아이앤씨,"경상남도 창원시 마산합포구 해안대로 396, 3층 (오동동)",무인 항공기 및 무인 비행장치 제조업,무인항공기(드론),070-5066-5760,055-715-3838
3641,주식회사 다온정보통신,"경상남도 창원시 진해구 냉천로 149-23, 2층(자은동,다온재) (자은동)",방송장비 제조업 외 6 종,"영상.음향기기, CCTV  SYSTEME, 전원공급장치 외",055-715-5600,055-715-5611
3642,주식회사 다올플라즈마,경상남도 창원시 의창구 팔용동 63-1,그 외 기타 금속가공업,공구코팅,055-288-2348,055-288-2350
3643,주식회사 다함,경상남도 창원시 성산구 연덕로9번길 9 (웅남동),방송장비 제조업 외 1 종,통신 및 방송장비 제조(CCTV),070-4607-3480,070-8250-9306
3644,주식회사 대광,경상남도 창원시 진해구 남영로527번길 28 (남양동),그 외 기타 일반목적용 기계 제조업,"절단기, 조정기, 용접기 등",055-543-6226,
3645,주식회사 대광모티브,경상남도 창원시 진해구 남영로527번길 16 (남양동),자동차 엔진용 신품 부품 제조업 외 2 종,전기자동차 모터하우징 외,055-713-3990,055-713-3991
3646,주식회사 대신산업,경상남도 창원시 마산합포구 진북면 농공단지로 39 ((주)대신산업),레미콘 제조업,레미콘,,
3647,주식회사 대연,경상남도 창원시 의창구 동읍 의창대로491번길 63-20,배전반 및 전기 자동제어반 제조업 외 2 종,"폐쇄형배전반, 전동기제어반, 분전반",055-283-2538,055-262-8508
3648,주식회사 대영퓨처스,경상남도 창원시 의창구 죽전로68번길 29 (팔용동),기타 기계.장비 조립용 플라스틱 제품 제조업,OPERATION PANEL,055-261-4399,055-291-4389
3649,주식회사 대한하이텍,경상남도 창원시 마산회원구 봉암공단6길 28 (봉암동),기타 가공 공작기계 제조업,공작기계부품,055-299-6121,055-299-6128
3650,주식회사 대호텍,"경상남도 창원시 마산회원구 봉암공단4길 170 (봉암동, BUM CHANG ENG)",절삭가공 및 유사처리업 외 16 종,공작기계부품,055-252-1745,055-252-1748
3651,주식회사 더원,경상남도 창원시 의창구 차룡로48번길 44 (팔용동) 1동 B2층 B216호 외 1필지,일반용 전기 조명장치 제조업 외 3 종,LED경관용 조명등/전구,055-295-0511,
3652,주식회사 동보이엔지,경상남도 창원시 마산회원구 봉암공단5길 72 (봉암동),절삭가공 및 유사처리업,자동차부품,055-281-5496,055-281-5496
3653,주식회사 동아에이블,"경상남도 창원시 성산구 창원대학로 20, 82호관 317-2(제2창업실) (퇴촌동, 창원대학교)",간판 및 광고물 제조업 외 1 종,"석재안내판, 안전표시판 등",055-262-6857,055-262-6857
3654,주식회사 동진전력기술,경상남도 창원시 의창구 대산면 진남로75번길 55,전동기 및 발전기 제조업,"태양광발전 구조물, 태양광발전 접속반",055-343-3312,055-286-3322
3655,주식회사 디엘,경상남도 창원시 의창구 팔용로346번길 30 (팔용동),금속 위생용품 제조업 외 1 종,쥬스걸름망/스크류샤프트/수목성장보호대,055-253-5740,
3656,주식회사 락켐 ,경상남도 창원시 마산회원구 봉암공단10길 54-1 (봉암동),"치약, 비누 및 기타 세제 제조업","차량광택제, 차량세척제",055-255-1851,055-255-1852
3657,주식회사 렉터슨,경상남도 창원시 마산합포구 가포신항남로 12-1 (가포동),기타 음향기기 제조업 외 7 종,"amplifier module, 발전설비, 온도제어장치, 태양광발전장치",055-231-3333,055-231-4444
3658,주식회사 로봇월드,"경상남도 창원시 의창구 차룡로48번길 44, 1동 B1층 B102호(팔용동) 1동 B1층 B102호",산업용 로봇 제조업,산업용 로봇 부품 외,,055-345-9837
3659,주식회사 로우띵스,경상남도 창원시 성산구 성주로137번길 31-18 (남산동) 1층 B동,그 외 기타 분류 안된 금속 가공 제품 제조업,금속난간,055-715-5257,
3660,주식회사 마크,경상남도 창원시 성산구 용지로 111 (중앙동) 평안빌딩,기타 인쇄업,인쇄,,
3661,주식회사 맥킨리소재기술,경상남도 창원시 마산회원구 내서읍 용담로 77,그 외 기타 특수목적용 기계 제조업,"마스크기계제작, 철근대체품",055-230-3880,055-232-3887
3662,주식회사 머쉬올,"경상남도 창원시 마산회원구 내서읍 함마대로 2640, 창업지원센터 411호(좌) (마산대학)",차류 가공업,"버섯 차(추출물, 엑기스)",055-255-6886,055-255-6887
3663,주식회사 메디콕스 오션,경상남도 창원시 진해구 명제로 184 (명동),선박 구성 부분품 제조업,"조선기가재, 프랜트",055-545-3622,055-545-3623
3664,주식회사 명보씨푸드,"경상남도 창원시 마산회원구 봉암공단8길 5 (봉암동, 공장)",수산동물 냉동품 제조업,냉동수산가공품,055-222-9770,055-222-9769
3665,주식회사 명성프로텍,"경상남도 창원시 성산구 완암로 50, 테크동 8층 805,806 (성산동, SK테크노파크)",절연 코드세트 및 기타 도체 제조업,케이블 조립체,055-800-7021,055-800-7030
3666,주식회사 모두의디자인,경상남도 창원시 의창구 차룡로48번길 44 (팔용동) 1동 3층 305호,경 인쇄업,"인쇄물, 기타출판물",,055-6086-120
3667,주식회사 무인기술,"경상남도 창원시 진해구 충장로 273, 1층 (경화동, 스카이과학)","유인 항공기, 항공우주선 및 보조장치 제조업 외 1 종",무인항공기,055-541-0041,
3668,주식회사 미래에스비,"경상남도 창원시 마산회원구 봉암북7길 21, 5동 201호, 202호 (봉암동, 경남지능형홈산업화센터)",공기 조화장치 제조업 외 5 종,에어크린메트 외,070-7514-7772,070-4090-7772
3669,주식회사 미트벨리,경상남도 창원시 진해구 안골로 156 (안골동),육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,"양념육, 소시지",055-544-0791,055-324-0330
3670,주식회사 바른,경상남도 창원시 의창구 대산면 주남로394번길 63,구조용 금속 판제품 및 공작물 제조업 외 3 종,"금속재울타리, 차양, 버스승강장, 볼라드, 차선분리대",055-287-8007,055-287-8007
3671,주식회사 백산라이팅,경상남도 창원시 마산합포구 진북면 의림로 61 1동 2층,일반용 전기 조명장치 제조업 외 2 종,"일반용전기조명장치, LED조명",055-271-0103,055-271-0107
3672,주식회사 보성산업,경상남도 창원시 마산합포구 진북면 추곡리 573번지 외 1필지 외 6필지,표면 가공 목재 및 특정 목적용 제재목 제조업 외 1 종,"톱밥,폐합성수지원료,통밥",055-603-0001,055-603-0004
3673,주식회사 보온,경상남도 창원시 성산구 공단로 683 (성주동),구조용 금속 판제품 및 공작물 제조업 외 1 종,방음판,,
3674,주식회사 본시스템즈,경상남도 창원시 의창구 북면 감계로156번길 5-15,기어 및 동력전달장치 제조업,"사이클로이드 감속기, 3D 프린팅 출력물",055-296-1563,055-551-1561
3675,주식회사 부경정공,"경상남도 창원시 의창구 차룡로14번길 8 (팔용동, 유광공업사)",절삭가공 및 유사처리업 외 7 종,샤프트류 외,055-274-2701,055-274-2703
3676,주식회사 부경테크윈,경상남도 창원시 의창구 대산면 대산북로 764,무기 및 총포탄 제조업,전차엔진부품,055-256-4864,
3677,주식회사 부승정밀,경상남도 창원시 의창구 차상로 172-2 (팔용동),절삭가공 및 유사처리업,"정밀기기부품, 공작기계부품",055-276-1483,055-276-1485
3678,주식회사 브이티엘,경상남도 창원시 진해구 남영로527번길 25 (남양동),"탭, 밸브 및 유사장치 제조업",밸브,055-346-7654,055-546-7655
3679,주식회사 비앤비건설,경상남도 창원시 진해구 제덕로 256 (제덕동),플라스틱 창호 제조업 외 1 종,플라스틱 창틀 및 문틀,055-544-3579,055-545-2070
3680,주식회사 비엔비,"경상남도 창원시 의창구 팔용로346번길 30 (팔용동, (주)우신엠.에스공장)",포장용 플라스틱 성형용기 제조업,플라스틱포장용기,055-281-0810,055-281-0811
3681,주식회사 비제이,경상남도 창원시 의창구 북면 천주로769번길 40-1,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종",알루미늄 창호,055-299-4210,055-255-4210
3682,주식회사 비케이테크,경상남도 창원시 성산구 월림로67번길 27 (신촌동),기타 가공 공작기계 제조업,지그 및 기계부품,,
